Title,Year,Authors,Included_(Y=yes_N=No),Comments
Intervention strategies to inhibit protein carbonylation by lipoxidation-derived reactive carbonyls,2007,"Aldini, G.; Dalle Donne, I.; Maffei-Facino, R.M.; Milzani, A.; Carini, M.",N,The study does not mention any air pollutants or link Parkinson's disease to air pollution.
Introduction,2019,"Alahi, M.E.E.; Mukhopadhyay, S.C.",N,"Does not focus on air pollutants CO, O3, or NO2 as related to Parkinson's mentions nitrate instead."
Introduction and classical environmental risk factors for Parkinson,2019,"Tranchant, C.",N,"No specific air pollutants mentioned focuses on environmental toxics without linking to CO, O3, or NO2."
Involvement of heme oxygenase-1 in neuropsychiatric and neurodegenerative diseases,2018,"Neis, V.B.; Rosa, P.B.; Moretti, M.; Rodrigues, A.L.S.",N,The article is a review and does not present original observational data.
Involvement of nitric oxide in Parkinson's disease: Emphasis on sex difference in prevalence,2003,"Taşkiran, D.; Nazliel, B.; Irkeç, C.; Kutay, F.Z.; Pogun, S.",N,"Nitric oxide NO is not one of the specified air pollutants CO, O3, NO2 related to Parkinson's disease."
Is ambient air pollution a risk factor for Parkinson's disease? A meta-analysis of epidemiological evidence,2023,"Dhiman, V.; Trushna, T.; Raj, D.; Tiwari, R.R.",N,"The article is a meta-analysis, which does not meet the inclusion criteria for observational studies."
Issues in neurological risk assessment for occupational exposures: the Bay Bridge welders,2006,"Park, Robert M.; Bowler, Rosemarie M.; Eggerth, Donald E.; Diamond, Emily; Spencer, Katie J.; Smith, Donald; Gwiazda, Roberto",N,"No mention of air pollutants CO, O3, or NO2 focuses on manganese exposure and neurological outcomes."
Issues in the early diagnosis of Parkinson's disease,1997,"Koller, W.C.; Montgomery, E.B.",N,The study does not mention air pollutants or link them to Parkinson's disease.
"Juvenile parkinsonism: Epidemiology, diagnosis and treatment",2010,"Thomsen, T.R.; Rodnitzky, R.L.",N,The study does not mention any air pollutants or link them to Parkinson's disease.
Klazomania: The Screaming Tic,1996,"Bates, G.D.L.; Lampert, I.; Prendergast, M.; Van Woerkom, A.E.",N,Does not explicitly mention Parkinson's as an adverse health outcome related to air pollutants.
Lead contamination around secondary smelters: estimation of dispersal and accumulation by humans,1974,"Roberts, T. M.; Hutchinson, T. C.; Paciga, J.; Chattopadhyay, A.; Jervis, R. E.; VanLoon, J.; Parkinson, D. K.",N,"The study focuses on lead contamination, not the specified air pollutants CO, O3, NO2 or Parkinson's disease."
Levels of α- and β-synuclein regulate cellular susceptibility to toxicity from α-synuclein oligomers,2018,"Angelova, D.M.; Jones, H.B.L.; Brown, D.R.",N,The study does not mention any air pollutants or link them to Parkinson's disease.
Levodopa (L-Dopa),2025,"Gandhi, Kavita R.; Saadabadi, Abdolreza",N,The study focuses on levodopa treatment and does not investigate air pollutants or their relation to Parkinson's.
Levodopa in Parkinsonism: Potentiation of Central Effects with a Peripheral Inhibitor,1972,"Papavasiliou, P.S.; Cotzias, G.C.; Düby, S.E.; Steck, A.J.; Fehling, C.; Bell, M.A.",N,The study does not mention air pollutants or their relation to Parkinson's disease.
Levodopa modulating effects of inducible nitric oxide synthase and reactive oxygen species in glioma cells,2002,"Soliman, M.K.; Mazzio, E.A.; Soliman, K.F.A.",N,The study is in vitro and does not involve human populations or link air pollutants to Parkinson's.
Levodopa-induced dyskinesias in Parkinson’s disease increase cerebrospinal fluid nitric oxide metabolites’ levels,2022,"Santos-Lobato, B.L.; Bortolanza, M.; Pinheiro, L.C.; Batalhão, M.E.; Pimentel, Â.V.; Capellari-Carnio, E.; Del Bel, E.A.; Tumas, V.",N,"No air pollutants CO, O3, NO2 mentioned focuses on nitric oxide and its metabolites."
Literature review and meta-analysis of environmental toxins associated with increased risk of Parkinson's disease,2024,"Aravindan, A.; Newell, M.E.; Halden, R.U.",N,"The article is a literature review and meta-analysis, not an observational study as required."
"Living near major roads and the incidence of dementia, Parkinson's disease, and multiple sclerosis: a population-based cohort study",2017,"Chen, Hong; Kwong, Jeffrey C.; Copes, Ray; Tu, Karen; Villeneuve, Paul J.; van Donkelaar, Aaron; Hystad, Perry; Martin, Randall V.; Murray, Brian J.; Jessiman, Barry; Wilton, Andrew S.; Kopp, Alexander; Burnett, Richard T.",N,"No air pollutants mentioned only discusses proximity to major roads and does not link to CO, O3, or NO2."
"Long term environmental tobacco smoke activates nuclear transcription factor-kappa B, activator protein-1, and stress responsive kinases in mouse brain",2006,"Manna, Sunil K.; Rangasamy, Thirumalai; Wise, Kimberly; Sarkar, Shubhashish; Shishodia, Shishir; Biswal, Shyam; Ramesh, Govindarajan T.",N,"No air pollutants CO, O3, NO2 mentioned focuses on environmental tobacco smoke instead."
Long-term air pollution exposure and Parkinson's disease mortality in a large pooled European cohort: An ELAPSE study,2023,"Cole-Hunter, T.; Zhang, J.; So, R.; Samoli, E.; Liu, S.; Chen, J.; Strak, M.; Wolf, K.; Weinmayr, G.; Rodopolou, S.; Remfry, E.; de Hoogh, K.; Bellander, T.; Brandt, J.; Concin, H.; Zitt, E.; Fecht, D.; Forastiére, F.; Gulliver, J.; Hoffmann, B.; Hvidtfeldt, U.A.; Jöckel, K.-H.; Mortensen, L.H.; Ketzel, M.; Yacaman-Mendez, D.; Leander, K.; Ljungman, P.; Faure, E.; Lee, P.-C.; Elbaz, A.; Magnusson, P.K.E.; Nagel, G.; Pershagen, G.; Peters, A.; Rizzuto, D.; Vermeulen, R.; Schramm, S.; Stafoggia, M.; Katsouyanni, K.; Brunekreef, B.; Hoek, G.; Lim, Y.-H.; Jovanovic Andersen, Z.J.",Y,"The study investigates Parkinson's disease mortality related to air pollutants, including NO and O, meeting all inclusion criteria."
"Long-term air pollution exposure is associated with neuroinflammation, an altered innate immune response, disruption of the blood-brain barrier, ultrafine particulate deposition, and accumulation of amyloid beta-42 and alpha-synuclein in children and young adults",2008,"Calderón-Garcidueñas, Lilian; Solt, Anna C.; Henríquez-Roldán, Carlos; Torres-Jardón, Ricardo; Nuse, Bryan; Herritt, Lou; Villarreal-Calderón, Rafael; Osnaya, Norma; Stone, Ida; García, Raquel; Brooks, Diane M.; González-Maciel, Angelica; Reynoso-Robles, Rafael; Delgado-Chávez, Ricardo; Reed, William",N,No specific mention of Parkinson's as an adverse health outcome related to the defined air pollutants.
Long-term effects of PM(2·5) on neurological disorders in the American Medicare population: a longitudinal cohort study,2020,"Shi, Liuhua; Wu, Xiao; Danesh Yazdi, Mahdieh; Braun, Danielle; Abu Awad, Yara; Wei, Yaguang; Liu, Pengfei; Di, Qian; Wang, Yun; Schwartz, Joel; Dominici, Francesca; Kioumourtzoglou, Marianthi-Anna; Zanobetti, Antonella",N,"The study focuses on PM2.5 and does not mention the required air pollutants CO, O3, NO2 related to Parkinson's."
Long-term exposure to air pollution and the incidence of Parkinson’s disease: A nested case-control study,2017,"Chen, C.-Y.; Hung, H.-J.; Chang, K.-H.; Hsu, C.Y.; Muo, C.-H.; Tsai, C.-H.; Wu, T.-N.",N,"The study focuses on particulate matter, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Long-term exposure to low-level particulate air pollution and Parkinson's disease diagnosis - A Finnish register-based study,2023,"Rumrich, Isabell Katharina; Lin, Julian; Korhonen, Antti; Frohn, Lise Marie; Geels, Camilla; Brandt, Jørgen; Hartikainen, Sirpa; Hänninen, Otto; Tolppanen, Anna-Maija",N,"The study focuses on particulate matter, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
"Long-term exposure to major constituents of fine particulate matter and neurodegenerative diseases: A population-based survey in the Pearl River Delta Region, China",2024,"Wu, Qi-Zhen; Zeng, Hui-Xian; Andersson, John; Oudin, Anna; Kanninen, Katja M.; Xu, Mu-Wu; Qin, Shuang-Jian; Zeng, Qing-Guo; Zhao, Bin; Zheng, Mei; Jin, Nanxiang; Chou, Wei-Chun; Jalava, Pasi; Dong, Guang-Hui; Zeng, Xiao-Wen",N,"The study focuses on PM2.5 and does not mention CO, O3, or NO2 as required air pollutants."
Long-term exposure to multiple air pollutants and risk of Parkinson's disease: A population-based multipollutant model study,2025,"Chen, S.-J.; Pan, S.-C.; Chih-Da, C.-D.; Li, H.; Guo, Y.L.; Lin, C.-H.",Y,"The study investigates Parkinson's disease related to multiple air pollutants, including NO2 and O3, meeting all inclusion criteria."
Long-term exposure to particulate air pollution and incidence of Parkinson's disease: A nationwide population-based cohort study in South Korea,2022,"Lee, Hyewon; Kim, Ok-Jin; Jung, Jiyun; Myung, Woojae; Kim, Sun-Young",N,"Study focuses on particulate matter PM instead of specified air pollutants CO, O3, NO2 related to Parkinson's."
Long-term exposure to PM(2.5) exacerbates dopaminergic neuronal loss through CpG hypermethylation induced down-regulation of PINK1 and DJ-1 genes,2025,"Du, Xiangnan; Guan, Longfei; Chen, Chen; Wang, Xuemei; Geng, Xiaokun",N,"Study focuses on PM2.5 and does not mention CO, O3, or NO2 as required air pollutants."
Long-term exposure to residential greenness and neurodegenerative disease mortality among older adults: a 13-year follow-up cohort study,2022,"Rodríguez-Loureiro, L.; Gadeyne, S.; Bauwelinck, M.; Lefebvre, W.; Vanpoucke, C.; Casas, L.",N,"No air pollutants CO, O3, NO2 mentioned only PM and NO are referenced."
Long-term ozone exposure and mortality from neurological diseases in Canada,2021,"Zhao, N.; Pinault, L.; Olaniyan, O.; Vanos, J.; Tjepkema, M.; Çakmak, S.",Y,"The study investigates ozone exposure related to Parkinson's mortality, meeting all inclusion criteria."
Long-term PM2.5 Exposure and Neurological Hospital Admissions in the Northeastern United States,2016,"Kioumourtzoglou, Marianthi-Anna; Schwartz, Joel D.; Weisskopf, Marc G.; Melly, Steven J.; Wang, Yun; Dominici, Francesca; Zanobetti, Antonella",N,"Study focuses on PM2.5, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Loss of postural reflexes in long-term occupational solvent exposure,2002,"Kuriwaka, Rika; Mitsui, Takao; Fujiwara, Soichiro; Nishida, Yoshihiko; Matsumoto, Toshio",N,No mention of air pollutants or Parkinson's as an adverse health outcome related to them.
Lung proteomic and metabolomic changes induced by carbon black nanoparticles and high humidity in a mouse asthma model,2025,"Deng, Rui; Wang, Mingpu; Chung, Kian Fan; Zhu, Ya",N,"The study focuses on asthma and carbon black nanoparticles, not on Parkinson's disease related to specified air pollutants."
Macrophage cell membrane-based nanoparticles: a new promising biomimetic platform for targeted delivery and treatment,2022,"Wu, Y.; Wan, S.; Yang, S.; Hu, H.; Zhang, C.; Lai, J.; Zhou, J.; Chen, W.; Tang, X.; Luo, J.; Zhou, X.; Yu, L.; Wang, L.; Wu, A.; Fan, Q.; Wu, J.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on nanoparticles and immune cells."
Macrophage killing of Leishmania parasite in vivo is mediated by nitric oxide from L-arginine,1990,"Liew, F. Y.; Millott, S.; Parkinson, C.; Palmer, R. M.; Moncada, S.",N,The study does not mention Parkinson's disease or any of the specified air pollutants.
Magnetic resonance imaging and 11C-N-methylspiperone/positron emission tomography studies in a patient with the interval form of carbon monoxide poisoning,1998,"Yoshii, F.; Kozuma, R.; Takahashi, W.; Haida, M.; Takagi, S.; Shinohara, Y.",N,"The study focuses on carbon monoxide poisoning and neuropsychiatric symptoms, not explicitly linking Parkinson's to air pollution."
Magnetic resonance imaging as an indication of the long-term outcome after acute carbon monoxide poisoning,2001,"Harada, T.; Nitta, K.; Ishizaki, F.; Imamura, R.; Hirano, K.; Koide, T.; Nomura, M.",N,"The study is a clinical case study, not an observational study, and does not explicitly link Parkinson's to air pollution."
"Major depression and carbon monoxide-induced Parkinsonism: Diagnosis, computerized axial tomography, and response to L-Dopa",1985,"Jaeckle, R.S.; Nasrallah, H.A.",N,"The study is a case report, not an observational study, and does not meet the inclusion criteria."
Manganese accumulation in nail clippings as a biomarker of welding fume exposure and neurotoxicity,2012,"Sriram, Krishnan; Lin, Gary X.; Jefferson, Amy M.; Roberts, Jenny R.; Andrews, Ronnee N.; Kashon, Michael L.; Antonini, James M.",N,"No air pollutants CO, O3, NO2 mentioned focuses on manganese exposure related to welding fumes."
Manganese and Developmental Neurotoxicity,2017,"Lucchini, Roberto; Placidi, Donatella; Cagna, Giuseppa; Fedrighi, Chiara; Oppini, Manuela; Peli, Marco; Zoni, Silvia",N,"The study focuses on manganese, not the specified air pollutants CO, O3, NO2, and does not link them to Parkinson's."
Manganese dioxide exposures and respirator performance at an alkaline battery plant,2000,"Hanley, K. W.; Lenhart, S. W.",N,"The study focuses on manganese exposure, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Manganese exposure in foundry furnacemen and scrap recycling workers,1999,"Lander, F.; Kristiansen, J.; Lauritsen, J. M.",N,"The study focuses on manganese exposure, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Manganese induced parkinsonism: An outbreak due to an unrepaired ventilation control system in a ferromanganese smelter,1989,"Wang, J.-D.; Huang, C.-C.; Hwang, Y.-H.; Chiang, J.-R.; Lin, J.-M.; Chen, J.-S.",N,"The study focuses on manganese exposure, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
May traffic air pollution be involved in autism spectrum disorder?,2017,"Chirumbolo, S.; Bjørklund, G.; Urbina, M.A.",N,The study focuses on autism spectrum disorder and does not explicitly link air pollutants to Parkinson's disease.
Mechanism of fluconazole resistance in Candida krusei,1998,"Orozco, A. S.; Higginbotham, L. M.; Hitchcock, C. A.; Parkinson, T.; Falconer, D.; Ibrahim, A. S.; Ghannoum, M. A.; Filler, S. G.",N,"The study focuses on fluconazole resistance in Candida krusei, not on air pollution or Parkinson's disease."
Mechanism of systemically injected interferon-alpha impeding monoamine biosynthesis in rats: Role of nitric oxide as a signal crossing the blood-brain barrier,2003,"Kitagami, T.; Yamada, K.; Miura, H.; Hashimoto, R.; Nabeshima, T.; Ohta, T.",N,The study is based on an animal model rats and does not involve human populations as required.
Mechanisms of action involved in ozone therapy: Is healing induced via a mild oxidative stress?,2011,"Sagai, M.; Bocci, V.",N,The study focuses on ozone therapy and does not investigate Parkinson's as an adverse health outcome related to air pollution.
Megacities air pollution problems: Mexico City Metropolitan Area critical issues on the central nervous system pediatric impact,2015,"Calderón-Garcidueñas, L.; Kulesza, R.; Doty, R.L.; D'Angiulli, A.; Torres-Jardón, R.",N,No mention of Carbon Monoxide or Nitrogen Dioxide only discusses Particulate Matter and Ozone without linking to Parkinson's.
Metabolic Covariant Network in Relation to Nigrostriatal Degeneration in Carbon Monoxide Intoxication-Related Parkinsonism,2016,"Chang, C.-C.; Hsu, J.-L.; Chang, W.-N.; Huang, S.-H.; Huang, C.-W.; Chang, Y.-T.; Chen, N.-C.; Lui, C.-C.; Lee, C.-C.; Hsu, S.-W.",Y,"The study investigates Parkinson's related to carbon monoxide CO exposure, meeting all inclusion criteria."
Metabolism of the antimammary cancer antiestrogenic agent tamoxifen. I. Cytochrome P-450-catalyzed N-demethylation and 4-hydroxylation,1993,"Mani, C.; Gelboin, H. V.; Park, S. S.; Pearce, R.; Parkinson, A.; Kupfer, D.",N,The study focuses on tamoxifen metabolism and does not mention air pollutants or Parkinson's disease.
Metal-coordinated fluorescent and luminescent probes for reactive oxygen species (ROS) and reactive nitrogen species (RNS),2021,"Kwon, N.; Kim, D.; Swamy, K.M.K.; Yoon, J.",N,"The article does not mention any of the specified air pollutants CO, O3, NO2 or explicitly link Parkinson's to air pollution."
Metformin Protects From Rotenone–Induced Nigrostriatal Neuronal Death in Adult Mice by Activating AMPK-FOXO3 Signaling and Mitigation of Angiogenesis,2020,"El-Ghaiesh, S.H.; Bahr, H.I.; Ibrahiem, A.T.; Ghorab, D.; Al-Omar, S.Y.; Farag, N.E.; Zaitone, S.A.",N,The study focuses on a mouse model and does not involve human populations or air pollutants.
Methyl benzoate as a marker for the detection of mold in indoor building materials,2005,"Wady, Loay; Parkinson, Don-Roger; Pawliszyn, Janusz",N,The study does not mention any air pollutants or Parkinson's disease.
"Microbial tyrosinase: Biochemical, molecular properties and pharmaceutical applications",2021,"El-Sayed, A.S.A.; Maamoun, H.S.; Rabie, G.H.; Morsy, Y.; Ali, M.G.; Rady, A.M.",N,The study does not mention any air pollutants and focuses on tyrosinase rather than Parkinson's related to air pollution.
miRNAs in SARS-CoV-2 Infection: An Update,2022,"Azhar, A.; Khan, W.H.; Al-Hosaini, K.; Kamal, M.A.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on miRNAs and COVID-19."
Mirtazapine improves visual hallucinations in Parkinson's disease: a case report,2013,"Tagai, Kenji; Nagata, Tomoyuki; Shinagawa, Shunichiro; Tsuno, Norifumi; Ozone, Motohiro; Nakayama, Kazuhiko",N,The study is a case report and does not meet the observational study criteria.
Mitochondrial dysfunction and loss of Parkinson's disease-linked proteins contribute to neurotoxicity of manganese-containing welding fumes,2010,"Sriram, Krishnan; Lin, Gary X.; Jefferson, Amy M.; Roberts, Jenny R.; Wirth, Oliver; Hayashi, Yusuke; Krajnak, Kristine M.; Soukup, Joleen M.; Ghio, Andrew J.; Reynolds, Steven H.; Castranova, Vincent; Munson, Albert E.; Antonini, James M.",N,"No air pollutants CO, O3, NO2 are mentioned focuses on manganese instead."
"Mitochondrial dysfunction, free radical generation and cellular stress response in neurodegenerative disorders",2007,"Mancuso, C.; Scapagnini, G.; Currò, D.; Giuffrida-Stella, A.M.; de Marco, C.; Butterfield, D.A.; Calabrese, V.",N,No air pollutants mentioned focuses on oxidative stress and neurodegenerative disorders without linking to specific pollutants.
Mitochondrial protein tyrosine nitration,2011,"Castro, L.; Demicheli, V.; Tórtora, V.; Radi, R.",N,The study does not mention air pollutants or Parkinson's as an adverse health outcome.
Mixture effects of air pollutants on Parkinson's disease in adults ages 40+ in the United States from 2002 to 2016,2025,"Vu, Bryan N.; Amini, Heresh; Qiu, Xinye; Feng, Yijing; Wei, Yaguang; Schwartz, Joel",Y,"The study investigates the relationship between NO2, O3, and Parkinson's disease, meeting all inclusion criteria."
"Modification of the striatal dopaminergic neuron system by carbon monoxide exposure in free-moving rats, as determined by in vivo brain microdialysis",2002,"Hara, S.; Mukai, T.; Kurosaki, K.; Kuriiwa, F.; Endo, T.",N,"Study is on rats, not humans does not meet the criteria for observational studies in human populations."
Modifying welding process parameters can reduce the neurotoxic potential of manganese-containing welding fumes,2015,"Sriram, Krishnan; Lin, Gary X.; Jefferson, Amy M.; Stone, Samuel; Afshari, Aliakbar; Keane, Michael J.; McKinney, Walter; Jackson, Mark; Chen, Bean T.; Schwegler-Berry, Diane; Cumpston, Amy; Cumpston, Jared L.; Roberts, Jenny R.; Frazer, David G.; Antonini, James M.",N,"No air pollutants CO, O3, NO2 mentioned focuses on manganese in welding fumes instead."
Modulation of BV-2 microglia functions by novel quercetin pivaloyl ester,2015,"Mrvová, Nataša; Škandík, Martin; Kuniaková, Marcela; Račková, Lucia",N,No air pollutants mentioned focuses on microglia and inflammation without linking to Parkinson's and air pollution.
Modulatory Effects of Nicotine on neuroHIV/neuroAIDS,2018,"Han, Haijun; Yang, Zhongli; Chang, Sulie L.; Li, Ming D.",N,"The study does not mention any air pollutants and focuses on nicotine's effects related to HIV, not Parkinson's."
Movement disorder emergencies,2005,"Frucht, S.J.",N,The article is a review and does not meet the observational study criteria.
Movement disorders caused by medical disease,2009,"Barton, B.; Zauber, S.E.; Goetz, C.G.",N,The article does not mention air pollutants or link Parkinson's to them.
MRI and clinical manifestations of delayed encephalopathy after carbon monoxide poisoning,2016,"Wang, X.; Li, Z.; Berglass, J.; He, W.; Zhao, J.; Zhang, M.; Gao, C.; Zhang, C.; Zhang, H.; Yi, X.",N,Does not explicitly mention Parkinson's as an adverse health outcome related to CO.
MRI and neuropathological validations of the involvement of air pollutants in cortical selective neuronal loss,2014,"Ejaz, Sohail; Anwar, Khaleeq; Ashraf, Muhammad",N,"The study focuses on particulate matter PM and does not mention CO, O3, or NO2 as required."
Multi-Modal Synergistic 99mTc-TRODAT-1 SPECT and MRI for Evaluation of the Efficacy of Hyperbaric Oxygen Therapy in CO-Induced Delayed Parkinsonian and Non-Parkinsonian Syndromes,2022,"Yeh, S.H.-H.; Chiu, C.-H.; Kao, H.-W.; Lin, C.-P.; Lai, Y.-H.; Huang, W.-S.",Y,"The study investigates CO exposure and its link to Parkinsonian syndrome, meeting all inclusion criteria."
Multiple system atrophy following chronic carbon disulfide exposure,1998,"Frumkin, H.",N,"The study focuses on carbon disulfide, not the required air pollutants CO, O3, NO2, and does not mention Parkinson's explicitly."
n-Hexane-induced parkinsonism: pathogenetic hypotheses,1995,"Pezzoli, G.; Antonini, A.; Barbieri, S.; Canesi, M.; Perbellini, L.; Zecchinelli, A.; Mariani, C. B.; Bonetti, A.; Leenders, K. L.",N,"The study focuses on n-Hexane, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Nanomaterials and nanoparticles: sources and toxicity,2007,"Buzea, Cristina; Pacheco, Ivan I.; Robbie, Kevin",N,The article does not mention any of the specified air pollutants or Parkinson's as an adverse health outcome.
Nasal toxicity of manganese sulfate and manganese phosphate in young male rats following subchronic (13-week) inhalation exposure,2004,"Dorman, David C.; McManus, Brian E.; Parkinson, Carl U.; Manuel, Chris A.; McElveen, Anna M.; Everitt, Jeffrey I.",N,"The study focuses on manganese, not the specified air pollutants CO, O3, NO2 or Parkinson's disease."
Natural history of lung function over one year in patients with Parkinson's disease,2021,"Kaminsky, D.A.; Grosset, D.G.; Kegler-Ebo, D.M.; Cangiamilla, S.; Klingler, M.; Zhao, P.; Oh, C.",N,The study focuses on lung function in Parkinson's patients without linking air pollutants to Parkinson's disease.
Natural product HTP screening for antibacterial (E.coli 0157:H7) and anti-inflammatory agents in (LPS from E. coli O111:B4) activated macrophages and microglial cells; focus on sepsis,2016,"Mazzio, E.A.; Li, N.; Bauer, D.; Mendonca, P.; Taka, E.; Darb, M.; Thomas, L.; Williams, H.; Soliman, K.F.A.",N,"No air pollutants mentioned focus is on antibacterial and anti-inflammatory agents, not on Parkinson's related to air pollution."
Natural product HTP screening for attenuation of cytokine-induced neutrophil chemo attractants (CINCs) and NO2 − in LPS/IFNγ activated glioma cells,2017,"Mazzio, E.A.; Bauer, D.; Mendonca, P.; Taka, E.; Soliman, K.F.A.",N,"The study does not explicitly link Parkinson's to air pollutants and focuses on glioma cells, not human populations."
Neural heme oxygenase-1 expression in idiopathic Parkinson's disease,1998,"Schipper, H.M.; Liberman, A.; Stopa, E.G.",N,"The study does not investigate air pollution or link it to Parkinson's disease, focusing instead on cellular stress and heme oxygenase-1."
Neurobehavioral aspects of the delayed encephalopathy of carbon monoxide intoxication: Case report and review,1995,"Méndez, M.F.; Doss, R.C.",N,"The study is a case report, not an observational study, and does not explicitly link Parkinson's to CO."
Neurobehavioral deficits and parkinsonism in occupations with manganese exposure: A review of methodological issues in the epidemiological literature,2013,"Park, R.M.",N,"The study focuses on manganese exposure, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Neurodegeneration,2016,"Przedborski, S.",N,No specific study on air pollution or its relation to Parkinson's focuses on neurodegeneration broadly.
Neurodegenerative and neurological disorders by small inhaled particles,2016,"Heusinkveld, Harm J.; Wahle, Tina; Campbell, Arezoo; Westerink, Remco H. S.; Tran, Lang; Johnston, Helinor; Stone, Vicki; Cassee, Flemming R.; Schins, Roel P. F.",N,"No specific mention of CO, O3, or NO2 focuses on particulate matter and does not link Parkinson's to the specified air pollutants."
Neurodegenerative hospital admissions and long-term exposure to ambient fine particle air pollution,2021,"van Wijngaarden, Edwin; Rich, David Q.; Zhang, Wangjian; Thurston, Sally W.; Lin, Shao; Croft, Daniel P.; Squizzato, Stefania; Masiol, Mauro; Hopke, Philip K.",N,"No air pollutant from the specified list CO, O3, NO2 is mentioned only PM2.5 is discussed."
Neurodegenerative memory disorders: A potential role of environmental toxins,2005,"Caban-Holt, A.; Mattingly, M.; Cooper, G.; Schmitt, F.A.",N,No specific mention of air pollutants or Parkinson's as an adverse health outcome.
Neurodevelopmental toxicity induced by PM2.5 Exposure and its possible role in Neurodegenerative and mental disorders,2023,"Liu, Xin-Qi; Huang, Jia; Song, Chao; Zhang, Tian-Liang; Liu, Yong-Ping; Yu, Li",N,"The study focuses on PM2.5, not the specified air pollutants CO, O3, NO2, and does not meet inclusion criteria."
"Neuroimaging, cognitive, and neurobehavioral outcomes following carbon monoxide poisoning",2006,"Hopkins, R.O.; Woon, F.L.M.",N,Parkinson's is not mentioned as an adverse health outcome related to carbon monoxide.
Neurological disorders vis-à-vis climate change,2021,"Zammit, Christian; Torzhenskaya, Natalia; Ozarkar, Pranali Devendra; Calleja Agius, Jean",N,"The study does not mention any of the required air pollutants CO, O3, NO2 and focuses on particulate matter."
Neurological outcomes associated with low-level manganese exposure in an inception cohort of asymptomatic welding trainees,2015,"Baker, Marissa G.; Criswell, Susan R.; Racette, Brad A.; Simpson, Christopher D.; Sheppard, Lianne; Checkoway, Harvey; Seixas, Noah S.",N,"The study focuses on manganese exposure, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Neurological Sequelae After Acute Carbon Monoxide Poisoning,2024,"Wankhade, Bhushan Sudhakar; Shaikh, Wasim Shabbir; Alrais, Zeyad Faoor; ElKhouly, Adel Elsaid; Salman, Ammar Ali",N,"The study focuses on neurological sequelae after CO poisoning, not Parkinson's as an adverse health outcome related to air pollution."
Neurological sequelae following carbon monoxide poisoning clinical course and outcome according to the clinical types and brain computed tomography scan findings,1994,"Lee, M.S.; Marsden, C.D.",N,"The study focuses on CO poisoning and neurological outcomes, but does not explicitly link Parkinson's as an adverse health outcome."
Neuropathology of movement disorders,1998,"Jellinger, K.A.",N,The article does not mention any air pollutants or link Parkinson's to air pollution.
Neuroprotection and Neurocognitive Augmentation by Photobiomodulation,2021,"Gonzalez-Lima, F.",N,The study does not mention any air pollutants or Parkinson's as an adverse health outcome.
Neuroprotection of low dose carbon monoxide in Parkinson's disease models commensurate with the reduced risk of Parkinson's among smokers,2024,"Rose, K. N.; Zorlu, M.; Xue, X.; Fassini, A.; Cai, W.; Lin, S.; Webb, P.; Schwarzschild, M. A.; Chen, X.; Gomperts, S. N.",N,The study uses rodent models and does not meet the observational study criteria for human populations.
Neuroprotective actions of a fatty acid nitroalkene in Parkinson’s disease,2023,"Di Maio, R.; Keeney, M.T.; Cechova, V.; Mortimer, A.; Sekandari, A.; Rowart, P.; Greenamyre, J.T.; Freeman, B.A.; Fazzari, M.",N,"The study is experimental, focusing on neuroprotective actions rather than observational links between air pollutants and Parkinson's."
Neuroprotective effect of an Nrf2-ARE activator identified from a chemical library on dopaminergic neurons,2018,"Izumi, Y.; Kataoka, H.; Inose, Y.; Akaike, A.; Koyama, Y.; Kume, T.",N,The study is experimental and does not focus on observational data related to air pollution and Parkinson's.
Neuropsychiatric relapse following acute carbon monoxide poisoning. The contribution of electroconvulsive therapy,1975,"Smith, J.S.; Mellick, R.S.",N,The study does not mention Parkinson's as an adverse health outcome related to carbon monoxide.
Neuropsychological sequelae of exposure to welding fumes in a group of occupationally exposed men,2003,"Bowler, Rosemarie M.; Gysens, Sabine; Diamond, Emily; Booty, Andrew; Hartney, Christopher; Roels, Harry A.",N,No mention of air pollutants or Parkinson's as an adverse health outcome.
Neurotherapeutic effects of novel HO-1 inhibitors in vitro and in a transgenic mouse model of Alzheimer's disease,2014,"Gupta, A.; Lacoste, B.; Pistell, P.J.; Ingram, D.K.; Hamel, E.; Alaoui-Jamali, M.A.; Szarek, W.A.; Vlahakis, J.Z.; Jie, S.; Song, W.; Schipper, H.M.",N,"The study focuses on Alzheimer's disease and HO-1 inhibitors, not on Parkinson's as an adverse health outcome related to air pollution."
Neurotoxic Effects of Airborne Particulate Matter: Mechanisms and Health Implications,2025,"Thangavel, Prakash; Park, Duckshin; Lee, Young-Chul",N,"The study focuses on particulate matter PM and does not mention the required air pollutants CO, O3, NO2 or explicitly link Parkinson's to them."
